BillOfMaterialsID,ProductAssemblyID,ComponentID,StartDate,EndDate,UnitMeasureCode,BOMLevel,PerAssemblyQty,ModifiedDate
124,776,825,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
125,982,823,"05/04/20 00:00:00",,"EA ",1,1.00,"04/20/20 00:00:00"
126,987,823,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
127,778,825,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
128,989,514,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
129,973,518,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
130,756,518,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
131,793,519,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
132,991,514,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
133,975,518,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
134,962,520,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
135,758,518,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
136,795,519,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
137,971,521,"05/04/20 00:00:00",,"EA ",1,1.00,"04/20/20 00:00:00"
138,993,514,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
139,754,518,"03/04/20 00:00:00",,"EA ",1,1.00,"02/18/20 00:00:00"
140,517,911,"05/04/20 00:00:00",,"EA ",2,1.00,"04/20/20 00:00:00"
141,522,916,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
142,816,527,"05/04/20 00:00:00",,"EA ",2,36.00,"04/20/20 00:00:00"
143,827,527,"03/04/20 00:00:00",,"EA ",2,36.00,"02/18/20 00:00:00"
144,520,528,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
145,946,529,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
146,521,530,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
147,944,533,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
148,748,533,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
149,947,398,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
150,826,931,"05/04/20 00:00:00",,"EA ",2,1.00,"04/20/20 00:00:00"
151,825,921,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
152,942,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
153,924,324,"03/04/20 00:00:00",,"EA ",2,2.00,"02/18/20 00:00:00"
154,927,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
155,917,494,"03/04/20 00:00:00",,"OZ ",2,8.00,"02/18/20 00:00:00"
156,917,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
157,918,494,"03/04/20 00:00:00",,"OZ ",2,8.00,"02/18/20 00:00:00"
158,918,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
159,919,494,"03/04/20 00:00:00",,"OZ ",2,8.00,"02/18/20 00:00:00"
160,919,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
161,920,494,"03/04/20 00:00:00",,"OZ ",2,8.00,"02/18/20 00:00:00"
162,920,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
163,830,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
164,831,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
165,832,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
166,904,494,"03/04/20 00:00:00",,"OZ ",2,8.00,"02/18/20 00:00:00"
167,904,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
168,905,494,"03/04/20 00:00:00",,"OZ ",2,8.00,"02/18/20 00:00:00"
169,905,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
170,906,494,"03/04/20 00:00:00",,"OZ ",2,8.00,"02/18/20 00:00:00"
171,906,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
172,743,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
173,743,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
174,744,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
175,744,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
176,745,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
177,745,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
178,746,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
179,746,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
180,739,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
181,739,494,"03/04/20 00:00:00",,"OZ ",2,8.00,"02/18/20 00:00:00"
182,739,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
183,740,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
184,740,494,"03/04/20 00:00:00",,"OZ ",2,8.00,"02/18/20 00:00:00"
185,740,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
186,741,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
187,741,494,"03/04/20 00:00:00",,"OZ ",2,8.00,"02/18/20 00:00:00"
188,741,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
189,742,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
190,742,494,"03/04/20 00:00:00",,"OZ ",2,8.00,"02/18/20 00:00:00"
191,742,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
192,736,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
193,737,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
194,738,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
195,722,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
196,723,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
197,724,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
198,725,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
199,726,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
200,727,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
201,728,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
202,729,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
203,730,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
204,731,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
205,732,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
206,733,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
207,734,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
208,735,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
209,833,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
210,834,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
211,835,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
212,836,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
213,838,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
214,838,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
215,839,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
216,839,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
217,840,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
218,840,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
219,680,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
220,680,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
223,718,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
224,718,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
225,719,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
226,719,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
227,720,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
228,720,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
229,721,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
230,721,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
231,717,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
232,717,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
233,903,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
234,895,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
235,896,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
236,897,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
237,898,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
238,899,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
239,900,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
240,901,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
241,902,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
242,886,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
243,890,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
244,890,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
245,891,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
246,891,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
247,892,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
248,892,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
249,893,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
250,893,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
251,887,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
252,887,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
253,888,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
254,888,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
255,889,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
256,889,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
257,885,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
258,885,534,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
262,748,327,"03/04/20 00:00:00","05/03/20 00:00:00","EA ",1,2.00,"05/03/20 00:00:00"
268,807,459,"03/04/20 00:00:00","05/03/20 00:00:00","EA ",1,2.00,"05/03/20 00:00:00"
271,,750,"03/04/20 00:00:00","05/03/20 00:00:00","EA ",0,1.00,"05/03/20 00:00:00"
273,762,948,"03/04/20 00:00:00","05/03/20 00:00:00","EA ",1,2.00,"05/03/20 00:00:00"
279,757,948,"03/04/20 00:00:00","05/03/20 00:00:00","EA ",1,2.00,"05/03/20 00:00:00"
285,999,952,"03/04/20 00:00:00","05/03/20 00:00:00","EA ",1,2.00,"05/03/20 00:00:00"
288,967,945,"03/04/20 00:00:00","05/03/20 00:00:00","EA ",1,2.00,"05/03/20 00:00:00"
291,752,940,"03/04/20 00:00:00","05/03/20 00:00:00","EA ",1,2.00,"05/03/20 00:00:00"
299,972,806,"03/04/20 00:00:00","05/03/20 00:00:00","EA ",1,2.00,"05/03/20 00:00:00"
336,980,823,"03/04/20 00:00:00","05/03/20 00:00:00","EA ",1,2.00,"05/03/20 00:00:00"
337,982,823,"03/04/20 00:00:00","05/03/20 00:00:00","EA ",1,2.00,"05/03/20 00:00:00"
343,971,521,"03/04/20 00:00:00","05/03/20 00:00:00","EA ",1,2.00,"05/03/20 00:00:00"
348,517,911,"03/04/20 00:00:00","05/03/20 00:00:00","EA ",1,2.00,"05/03/20 00:00:00"
349,816,527,"03/04/20 00:00:00","05/03/20 00:00:00","EA ",1,37.00,"05/03/20 00:00:00"
351,826,931,"03/04/20 00:00:00","05/03/20 00:00:00","EA ",1,2.00,"05/03/20 00:00:00"
360,706,804,"03/04/20 00:00:00",,"EA ",2,1.00,"02/18/20 00:00:00"
361,806,1,"03/18/20 00:00:00",,"EA ",2,1.00,"03/04/20 00:00:00"
362,949,317,"03/18/20 00:00:00",,"EA ",2,2.00,"03/04/20 00:00:00"
363,989,952,"03/18/20 00:00:00",,"EA ",1,1.00,"03/04/20 00:00:00"
364,785,952,"03/18/20 00:00:00",,"EA ",1,1.00,"03/04/20 00:00:00"
365,775,952,"03/18/20 00:00:00",,"EA ",1,1.00,"03/04/20 00:00:00"
366,949,322,"05/18/20 00:00:00",,"EA ",2,3.00,"05/04/20 00:00:00"
367,944,324,"03/18/20 00:00:00",,"EA ",2,2.00,"03/04/20 00:00:00"
368,748,324,"03/18/20 00:00:00",,"EA ",2,2.00,"03/04/20 00:00:00"
369,785,950,"03/18/20 00:00:00",,"EA ",1,1.00,"03/04/20 00:00:00"
370,944,326,"05/18/20 00:00:00",,"EA ",2,1.00,"05/04/20 00:00:00"
371,748,326,"03/18/20 00:00:00",,"EA ",2,1.00,"03/04/20 00:00:00"
372,808,328,"03/18/20 00:00:00",,"EA ",2,2.00,"03/04/20 00:00:00"
373,797,948,"03/18/20 00:00:00",,"EA ",1,1.00,"03/04/20 00:00:00"
374,980,945,"03/18/20 00:00:00",,"EA ",1,1.00,"03/04/20 00:00:00"
375,779,945,"03/18/20 00:00:00",,"EA ",1,1.00,"03/04/20 00:00:00"
376,803,331,"03/18/20 00:00:00",,"EA ",3,2.00,"03/04/20 00:00:00"
377,814,803,"03/18/20 00:00:00",,"EA ",2,1.00,"03/04/20 00:00:00"
378,771,817,"03/18/20 00:00:00",,"EA ",1,1.00,"03/04/20 00:00:00"
379,808,356,"03/18/20 00:00:00",,"IN ",2,40.00,"03/04/20 00:00:00"
380,819,401,"03/18/20 00:00:00",,"EA ",2,1.00,"03/04/20 00:00:00"
381,822,399,"03/18/20 00:00:00",,"EA ",2,1.00,"03/04/20 00:00:00"
382,806,402,"03/18/20 00:00:00",,"EA ",2,1.00,"03/04/20 00:00:00"
383,806,459,"03/18/20 00:00:00",,"EA ",2,1.00,"03/04/20 00:00:00"
384,819,490,"03/18/20 00:00:00",,"EA ",2,36.00,"03/04/20 00:00:00"
385,825,491,"03/18/20 00:00:00",,"EA ",2,36.00,"03/04/20 00:00:00"
386,516,497,"03/18/20 00:00:00",,"EA ",2,4.00,"03/04/20 00:00:00"
387,984,935,"03/18/20 00:00:00",,"EA ",1,1.00,"03/04/20 00:00:00"
388,775,937,"03/18/20 00:00:00",,"EA ",1,1.00,"03/04/20 00:00:00"
389,3,504,"03/18/20 00:00:00",,"EA ",3,2.00,"03/04/20 00:00:00"
390,973,907,"03/18/20 00:00:00",,"EA ",1,1.00,"03/04/20 00:00:00"
391,798,994,"03/18/20 00:00:00",,"EA ",1,1.00,"03/04/20 00:00:00"
392,,981,"03/18/20 00:00:00",,"EA ",0,1.00,"03/04/20 00:00:00"
